rank,name,points,division
289,Bartholomew Dee,0,WOMEN
289,camoin sarah,0,WOMEN
289,Lamusse Sophie,0,WOMEN
289,Saddul Cheri,0,WOMEN
289,Berchon Tash,0,WOMEN
289,Puchtler Stéphanie,0,WOMEN
289,Stéphanie ASTIER KOUTCHOUK,0,WOMEN
289,Savary Morgane,0,WOMEN
289,Pojasnikova Olga,0,WOMEN
289,christelle bijou,0,WOMEN
289,Tessa Geslin,0,WOMEN
289,Kamenskikh Kristina,0,WOMEN
289,Breeze Maddi,0,WOMEN
289,James Geraldine,0,WOMEN
289,Camille Coquet,0,WOMEN
289,Marion Avellaneda,0,WOMEN
289,Castel Nathalie,0,WOMEN
289,Ollivier Emilie,0,WOMEN
289,Sum Ping Janice Kate,0,WOMEN
289,Randon Thaïs,0,WOMEN
289,Currimjee Nathan,0,WOMEN
289,Olivia De Ravel,0,WOMEN
289,Chelvanaigum Lily,0,WOMEN
289,Perrine Ratinaud,0,WOMEN
289,Lamusse Enzo,0,WOMEN
289,Burnett Paul,0,WOMEN
289,Rusmaully Nawaz,0,WOMEN
289,Fortunato Tommaso,0,WOMEN
289,Doger de Speville Nathan,0,WOMEN
289,Merle Loïs,0,WOMEN
289,Lafon Charlie,0,WOMEN
289,Arnasalon Segaren,0,WOMEN
289,Blackburn Yannik,0,WOMEN
289,Waller Toni,0,WOMEN
289,blohorn sandra,0,WOMEN
289,BADOURALY YASSINE,0,WOMEN
289,Hazebrouck Marion,0,WOMEN
289,HAZEBROUCK Johan,0,WOMEN
289,Moossa Ruslan,0,WOMEN
289,Podtopta Sonya,0,WOMEN
289,Labour Emanuel,0,WOMEN
289,Thomas D’unienville,0,WOMEN
289,Mottier Xavier,0,WOMEN
289,Kattic Fabien,0,WOMEN
289,Marie Adamczyk,0,WOMEN
289,Thibaut Bosquillon de jenlis,0,WOMEN
289,Benade Kevin,0,WOMEN
289,Benade Michel,0,WOMEN
289,Alimamod Mouskane Fatema,0,WOMEN
289,Hurdowar Alexandre Roger,0,WOMEN
289,Gustin Alain,0,WOMEN
289,Olivier lieonkao,0,WOMEN
289,Dickie Alistair,0,WOMEN
289,Borisov Boris,0,WOMEN
289,Ilicheva Ekaterina,0,WOMEN
289,Wilken Chris,0,WOMEN
289,Niven Mathieu,0,WOMEN
289,Wiehe Anaik,0,WOMEN
289,Albert Nicholas,0,WOMEN
289,Bathfield Sonia,0,WOMEN
289,Willmore Grant Jessica,0,WOMEN
289,jean-philippe GOIX,0,WOMEN
289,Curé Frédéric,0,WOMEN
289,Rasendra Miotisoa,0,WOMEN
289,Puroski Victoria,0,WOMEN
289,Lagesse Matayas,0,WOMEN
289,CHENITZ -AMARGOS Vanessa,0,WOMEN
289,Delerue Gabriel,0,WOMEN
289,Gaëlle Rey,0,WOMEN
289,Pinto David,0,WOMEN
289,Bokhoory Neil,0,WOMEN
289,Trigui Sonia,0,WOMEN
289,Pelissier Lévi,0,WOMEN
289,Pougnet Warren,0,WOMEN
289,Alberto Ronchi,0,WOMEN
289,Laporte Eric,0,WOMEN
289,Erwan Coince,0,WOMEN
289,Payet Olivier,0,WOMEN
289,Sychev Dmitrii,0,WOMEN
289,Mohabeer Jaykishen,0,WOMEN
289,Georges Guigui,0,WOMEN
289,Ithier Stephanie,0,WOMEN
289,Kinnoo Bhavesh,0,WOMEN
289,Schmid Angela,0,WOMEN
289,Suru Diane,0,WOMEN
289,Victor Ariajah,0,WOMEN
289,CARPENTIER Ambre,0,WOMEN
289,De Robillard Caroline,0,WOMEN
289,Mence Eva,0,WOMEN
289,Chaton yan,0,WOMEN
289,Gomez Henry Clara,0,WOMEN
289,Gomez Luna,0,WOMEN
289,Gallot Estelle,0,WOMEN
289,gross Michèle,0,WOMEN
289,Lydie Noguera,0,WOMEN
289,Thomas Estelle,0,WOMEN
289,Kenny Fong,0,WOMEN
289,GARRIGUES Elodie,0,WOMEN
289,prune Maingard,0,WOMEN
289,payet laura,0,WOMEN
289,Clemence Aufort,0,WOMEN
289,audrey Eyermann,0,WOMEN
289,Narayanasawmy Swadish,0,WOMEN
289,Moothy Selwyn,0,WOMEN
289,Ballu Laetitia,0,WOMEN
289,Desmarais Raymond,0,WOMEN
289,Lam Nathalie,0,WOMEN
289,Morelle Julie,0,WOMEN
289,Lequy Sophie,0,WOMEN
289,Kotze Gerda,0,WOMEN
289,Kotze Jacques,0,WOMEN
289,Christophe Panhard,0,WOMEN
289,Christophe Panhard,0,WOMEN
289,Rey Natacha,0,WOMEN
289,Costa Marina,0,WOMEN
